year,title,abstract,winner,university,degree
2003,Understanding the Interplay between Usability and Individual Privacy Preferences,"Lack of trust in the infrastructure has been reported by many as a major impediment to the broader adoption of e-Commerce and other Internet applications and services – e.g. (Georgetown Internet Privacy Policy Survey 1999, Wang 2001, JRC 2001, Zobel and Sadeh, 2001). Many users perceive solutions deployed over the Internet to collect, analyze and disseminate information as potential threats to their privacy, sometimes for good reasons and sometimes simply out of a lack of understanding of what these solutions actually do with their information. As the information and communication infrastructure helps mediate an ever broader range of activities, corporations, lawmakers, regulation agencies and consumer advocacy groups have to grapple with a broad range of ill-understood issues that directly impact people’s privacy. The explosion in mobile phone ownership, the emergence of authentication services such as .NET Passport or the deployment of “context-aware” functionality that makes it possible to track people’s location and other aspects of their daily activities further exacerbates this situation. While it can be argued that consumers may benefit from disclosing some information about themselves (e.g. through greater degrees of personalization or context awareness), they also run the risk of seeing their information misused. The scenarios range from being bombarded with annoying location-sensitive ads to downright scary situations where sensitive financial, health or other information could fall into the hands of unscrupulous third parties. Within this context, black-and-white policies that would strictly limit the disclosure and use of private information would fall short, as they would close the door on a number of potentially appealing scenarios. Similarly, too loose an approach would likely fail to provide consumers with sufficient trust in the Internet environment. It would seem therefore that, in many situations, it would be best to provide consumers with a framework within which they could decide for themselves what the best tradeoffs are, namely what information to disclose to whom and under which conditions. This view, which has been advocated by many, is in line with the approach taken by the World Wide Web Consortium (W3C) and its Platform for Privacy Preferences (P3P) project, which is quickly emerging as the industry standard for providing users with more control over the use of their personal information (W3C-P3P, 2001). Under P3P, web servers send machine-readable privacy proposals to the browsers of users who attempt to connect to their site. The browser then compares the proposal with the consumer’s own privacy preferences and determines whether or not to proceed or possibly prompt the user for a decision. While well-intentioned, this approach creates a tension between privacy and usability. To what extent can we expect users to specify their privacy preferences? Do users know their preferences ahead of time and do they actually understand the implications of different privacy options? If users are not willing to sit down for hours, specifying their preferences, what alternatives do we have to capture these preferences? Is it possible to identify key factors influencing user privacy preferences (e.g. nature of information being disclosed, nature of the site the information is disclosed to, whether or not the information is stored in an identifying manner, whether it is shared with third parties, prior interactions the user might have had with the site, nature of the interaction between the user and the site such as browsing versus shopping, etc.). By attempting to answer these and related questions in a scientific manner, we hope to help lawmakers, regulation bodies, businesses, consumer advocacy groups and other relevant actors to make betterinformed decisions. In the process, we also hope to inform key standardization efforts such as those conducted by the Word Wide Web Consortium under its ongoing P3P project. ",,Carnegie Mellon,Computer Science
2004,Simulation of a Nuclear Magnetic Resonance Quantum Computer,"Many believe that classical computation has limited computational power, unable to quickly solve several interesting families of problems. Quantum computation is an alternate avenue of attack, it relies on the power of quantum mechanics to superpose and entangle information in hopes of gaining a computational advantage. There are several possible physical realisations of quantum computers being studied by the community. One possible realisation is a quantum computer built on nuclear magnetic resonance (NMR) principles. This thesis is intended to implement a simulation of NMR computer. The final goal is to construct a simulation that will take in an algorithm, process it into NMR primitives which are passed to a NMR simulator. The NMR simulation outputs the result which then has to be processed in same formalism as the input algorithm. At the highest level, the fact that the computation is being performed on an NMR computer will hide and should appear a black box. This simulation provides two major purposes. The first purpose is that it will quickly allow researchers to test their ideas for NMR algorithms on a simulator before taking the time to run the algorithm on physical NMR hardware. The second purpose is to be an educational tool, to visualise algorithms and more intuitively understand quantum algorithms.",,Carnegie Mellon,Computer Science
2004,Single Point of Contact Manipulation of Unknown Objects,"Working in the presence of uncertainty is a fundamental problem in robotics. We are developing a method for performing single point of contact manipulation on initially unknown rigid bodies. Our approach adapts methods which have been used in the context of other robotics problems to this particular domain. We consider a robot that learns about the world through force feedback from its manipulator, fiducial tracking of the object's motion, and visual detection of the object's silhouette. Based on the information obtained from these sources we wish to generate a sequence of manipulation behaviors which minimizes the expected time required to move the object into a desired pose. We are developing behavioral primitives which are robust in the presence of uncertainty, methods for representing and reducing that uncertainty during manipulation, and planning software that reasons about the relative values of the available behaviors based on current knowledge. Our experiments are performed with a simulated world and robot.",,Carnegie Mellon,Computer Science
2004,A Power Saving Technique for TCP Connections over Wireless Links,"The IEEE 802.11 wireless LAN protocol prescribes the use of a power saving mode in which the network interface card of a mobile host is turned off periodically to save energy. In practice, the beacon period is typically set to 100ms. For TCP connections, this choice of beacon period can cause observed round trip times to be rounded up to the nearest multiple of 100ms. This rounding effect can hurt performance dramatically, for example inflating the amount of time it takes to transfer a web page from an HTTP server to the mobile host, Through simulations and real world data, we show that it is possible to select a beacon period per TCP connection such that at least as much energy is saved as with the 802.11 power saving mode, but at much greater performance.",,Carnegie Mellon,Computer Science
2004,On the Hardness of Uniform Random Generation,"The ability to randomly generate combinatorial objects is the fundamental technique underlying cryptography. The ability to randomly generate distributions of ""hard"" problems is useful for encryption and security. In addition, algorithms to randomly generate certain structures can teach us more about the structures themselves: some properties of regular graphs have been discovered by analyzing algorithms known to randomly generate them. Despite this, there has been little general research into random generation algorithms. For example, it is unknown whether there is an efficient algorithm that will uniformly generate an NP-complete language. My thesis aims to study the questions: In general, how computationally difficult is it to randomly generate a distribution? Can any NP-complete problems be efficiently generated? And, how does the computational intractibility of a particular problem affect the difficulty of randomly generating instances of that problem?",,Carnegie Mellon,Computer Science
2004,Synthetically Real Graphics,"Synthetic Reality is a project recently started by Professors Seth Goldstein and Todd Mowry with the goal of creating metamorphic robotic systems that simulate real moving objects. These systems consist of small, independent modules, or .catoms,. each containing a processor, memory, a capacitor (for power), programmable magnets (for motion), and wireless communication capability. The surface of each catom has a graphical display, onto which appropriate textures can be mapped to simulate the surface of the real object that is being modeled. I am working on the problem of mapping textures to the surfaces of these catoms so as to minimize distortion, both in the view-independent and view-dependent cases. Since the first physical prototypes of the catoms will be the size of ping-pong balls, shapes to be modeled will potentially lose much of their topographic information. As a result, texturing is very important in maintaining an approximation of the original appearance of the model.",,Carnegie Mellon,Computer Science
2004,Toward a Complete Face Recognition System,"A user should be able to sit in front of a computer equipped with a web camera, and the program would be able to capture the photo of the user and through various modules, process the photo and name the user. Currently there are existing separate modules that perform separate functions. For example, the face classification module uses SSD as feature. An optional component of the research is to investigate other features to be used for classification, in particular the use of wavelets. This might improve the accuracy of the system. The significance of this research would be to provide a basis for future development of many applications, such as surveillance, digital personal assistant, and camera-equipped cell-phones, which require individual face recognition.",,Carnegie Mellon,Computer Science
2004,Surface Capture of the Human Hand,"Capturing the details of a moving surface with a system of cameras is a complex problem which has been receiving a great deal of attention in recent literature. Current methods for surface capture of human actors (""skin capture"") do not yield results which are sufficiently realistic for use in the depiction of characters for computer animation. At the same time, current techniques for character animation lead to large amounts of production effort and cost to achieve realism when the deformations of skin must be rendered close-up, particularly in regions such as the hands or face where deformation is elaborate and subtle inconsistencies with reality are easy for the human eye to spot. A skin capture system with the ability to produce an animated 3D model whose deformations are indistinguishable from the original actor's skin would enable animators to produce characters with realistic skin using less time and effort. We propose a new system for surface capture of the human hand, a subject which has proven difficult to depict in a realistic manner for character animation in films and computer games. Recent surface capture systems attempt to build an arbitrary surface from a subject about which little or nothing is known, and have trouble when confronted with a hand in a pose which produces an elaborate shape with many occlusions. In contrast to these systems, our approach will use structural knowledge of the human hand to very quickly estimate the position and shape of the surface of the skin and rapidly converge to an accurate representation of the current state of the actor's hand. The system will allow a new and unknown actor to set up, calibrate for their hand, and begin capturing in the span of a few seconds, much more quickly than typical setup times of several minutes for traditional motion capture systems. Finally, the method used will be generalizable for use in capture of other articulated subjects whose structural knowledge is available.",,Carnegie Mellon,Computer Science
2004,Visual Routines for Spatial Cognition on a Mobile Robot,"In his studies on visual cognition, Ullman (1984) proposed that high-level vision makes use of reusable elemental operators which may be sequentially composed into a ""visual routine"" specialized for a particular visual task. Seeking to explore Ullman's ideas in the domain of robotics, we have created a framework for robot vision programming which uses reusable operators to parse the visual world. These visual operators act on and transform between two different representations of the world: iconic (pixel-based) and symbolic (shape-based). The framework provides a powerful set of primitives for the construction of visual behaviors, while also providing a GUI which allows for the run-time visualization of intermediate representations. The framework has been implemented in simulation and on a Sony AIBO robot, to perform tasks such as tic-tac-toe board parsing and character recognition. Current research is focused on using camera information to generate a persistent top-down world representation, allowing for more elaborate spatial behaviors.",,Carnegie Mellon,Computer Science
2004,A Fast Counting Data Compression Algorithm,"I explore a new type of data compression based on storing frequency counts. Traditional compression algorithms use either pattern building or statistic methods. Statistical methods have always proven to be most effective (although also the slowest) and much is know about their theoretical performance. Not a lot can be said about the theoretical performance of pattern building programs, although in practice, they work well, and are widely used. Data compression is used substantially in audio, video, and anywhere that datasets are large and/or bandwidth/media are small. Improvements in algorithms and theory dealing with compression help make the most of resources that are already in place. This project focuses on compressing data storing and using byte frequency counts. For free the frequency counts give you the ability to use statistical methods, because if you know the number of times each byte occurs in the file, and hence the probabilities of occurrence. However, you also know those probabilities at each stage in the compression by writing a byte, decrementing your counter and re-computing them. Basically, by providing more information than in a strait statistical method, greater compression can be achieved. A first order method proved to be about 10% more effective in practice than Huffman encoding, and higher orders only improve the effectiveness. Also, theoretically, it should out-perform both statistical and pattern matching algorithms in all cases. This method of compression had provided for some insight into how files are constructed statistically, and lead to some interesting file analysis/type guessing tools. Another interesting result is that this method reduces general file compression to compression of many simple collections of 256 numbers that obey many nice properties.",Allen Newell Award for Excellence in Undergraduate Research,Carnegie Mellon,Computer Science
2004,A Partially Automated Proof of the Cantor-Bernstein Theorem,"AProS is an automated proof search system created in the department of philosophy at Carnegie Mellon which finds natural deduction proofs for assertions in first order logic. A distinctive feature of AProS is that it produces natural proofs, similar to those a human might produce. I plan to extend AProS to use it to prove mathematical theorems from appropriate axioms, with the particular goal of proving the Schröder-Bernstein theorem from the axioms of Zermelo-Fraenkel set theory. Previous work has extended AProS to allow for metamathematical proofs (specifically proofs of Gödel's incompleteness theorems and related theorems), but this involved coding domain specific heuristics into the overall AProS architecture. I will implement appropriate general heuristics for handling axioms, definitions, and functions. I conjecture that when applied to the specific axioms and definitions of set theory, with appropriate lemmata, a proof of the Schröder-Bernstein theorem can be found. In keeping with the overall goals of the AProS project, this extension should generate natural proofs.",,Carnegie Mellon,Computer Science
2004,Detecting Opponent Roles in a Robot Soccer Domain,"Robot soccer provides a good domain for role-based opponent modeling because roles are well-defined and integral to the play system of the opponent. Specifically, I will detect roles and role transitions in the adversary team. This information can be used in other formation detection domains. Role detection is achieved with a combination of hand-coded rules, hidden markov models, and decision trees.",,Carnegie Mellon,Computer Science
2004,Augmented Reality Human Machine Interface for a Teleoperated Nano-scale Interaction and Manipulation System,"Perhaps one of the most challenging yet popular areas of research today is that involving the study of very small objects. Due to their small size, handling and interacting with these objects is beyond the capabilities of human sensing and precision. To overcome the scaling barrier when manipulating objects at the nano scale, teleoperation providing direct control of a nanorobot with visual and haptic feedback seems to be a reasonable approach. Hence, this thesis is focused on developing a Human Machine Interface (HMI) for real-time imaging in the nano world during nano manipulation/interaction with an Atomic Force Microscope (AFM) probe. This tool would provide scientists with the opportunity to learn more about the complexities of the micro/nano world. In addition, since it would facilitate the manipulation of micro/nano scaled objects, it would have applications in many different fields, including biology, chemistry, and physics.",Alumni Award for Undergraduate Excellence,Carnegie Mellon,Computer Science
2004,"FrontDesk: An Enterprise Class Web-based Software System for Programming Assignment Submission, Feedback Dissemination, and Grading Automation","The process of receiving a student submission and coordinating a course-wide assessment of user submissions is not a difficult conceptual problem. Many ad hoc solutions are implemented in a variety of courses which attempt to implement the process through various, disparate techniques. However, the process becomes much more difficult to manage when the goals of providing a common interface, rich user feedback, multiple submissions methods, section and submission group management, and distributed objective testing are considered worthwhile. In order to implement a system that meets these requirements, enterprise development practices and tools must be employed. FrontDesk is a Microsoft ASP.NET based Web application that attempts to improve communication and understanding between students and course staff through a rich submission and grading common environment. The focus of this paper is a more detailed, case-study style description of the problem domain and what we believe to be the best ways to solve each facet of the larger problem. In addition, we provide justification for each feature in FrontDesk and its benefit to both course staff and students. We will explore how Microsoft .NET distributed application technology applies to our specific area of development. Specifically, we will describe the enterprise architecture of the system and how certain attributes of the problem domain influence specific design decisions. Lastly, we will explore how the final solution solves the basic requirements of the robust submission and grading environment discussed in the beginning of the paper through analysis and user feedback.",,Carnegie Mellon,Computer Science
2004,Machine Learning Classification of fMRI Data in Semantic and Syntactic Tasks,"The advent of functional Magnetic Resonance Imaging has been an incredible boon for cognitive scientists in the last decade. By applying the power of computational processing to the tremendous quantity of data generated by fMRI studies, brain activity can be analyzed at a finer granularity than previously possible. My current research involves using the naive Bayes classifier to classify fMRI data between semantic and syntactic tasks. The goal of this research is to highlight the critical differences between the activity patterns seen when classifying isolated words as opposed to simple sentences. Through the analysis of classifier performance, I hope to lend new insight to the current understanding of linguistic comprehension. At the same time, methodology for such analysis must be constantly refined to eliminate confounding influences and lend credence to the results of classification.",,Carnegie Mellon,Computer Science
2004,Data Classification and Relaxing Storage Requirements,There have traditionally been certain guarentees assumed about data stored on disk: that it will remain unchanged and accessible. My work is exploring applications which can continue to behave correctly even when the disk does not meet these conditions. The application's data is classified based on the guarentees that the application requires and I will show an automated method for evaluating applications following changes to the disk's guarentees about its data.,,Carnegie Mellon,Computer Science
2004,Quantum Information and Game Theory,The main aim is to identify areas in game theory where concepts from quantum information may be useful and vice versa. I have attempted to understand the nature of correlations that exist in quantum entanglement and how they may be used as a resource in games.,,Carnegie Mellon,Computer Science
2004,Comparison-based Filesystem Verification (The NFS Tee),"This work explores a particular approach to testing a developmental filesystem -- comparing its behavior with that of a reference implementation in a live environment, that is, one consisting of real users, precious data and non-synthetic workloads. We believe such a configuration has the potential to offer unique insight into the system's behavior and consequently aid the development effort. The bulk of the project's work will lie in the construction and subsequent experimental usage of a tool, dubbed the NFS Tee, which is hoped to become a key debugging component in the Parallel Data Lab's Self-* Storage project.",,Carnegie Mellon,Computer Science
2004,Visual Validation of SSL Certificates in the Mozilla Browser using Hash Images,"Many internet transactions nowadays require some form of authentication from the server for security purposes. Most browsers are presented with a certificate coming from the other end of the connection, which is then validated against root certificates installed in the browser, thus establishing the server identity in a secure connection. However, an adversary can install his own root certificate in the browser and fool the client into thinking that he is connected to the correct server. Unless the client checks the certificate public key or fingerprint, he would never know if he is connected to a malicious server. These alphanumeric strings are hard to read and verify against, so most people do not take extra precautions to check. My research centers on building the visual hash output (image) into the Mozilla open source browser. Using a hash algorithm, a unique image is generated using the fingerprint of the certificate. Images are easily recognizable and the user can identify the unique image normally seen during a secure AND accurate connection. By making a visual comparison, the origins of the root certificate is known.",,Carnegie Mellon,Computer Science
2004,From Typed Assembly Language to Proof Carrying Code,"Typed Assembly Language (TAL) and Proof Carrying Code (PCC) are two assembly languages with additional markup that can certify that the binary code is safe to run. Although their goals are the same, they are not similar in their approaches. Furthermore the approaches taken by compilers to generate these binaries are very different, and hence compilers tend to target only one of these binaries, and are difficult to retarget. The goal of the research is to specify the translation from TAL to PCC such that any safe program in TAL will be a safe program in PCC with equivalent behavior. An additional goal is to implement an x86 version of the translator.",,Carnegie Mellon,Computer Science
2004,Behavior Programming Language and Automated Code Generation for Agent Behavior Control,"Behavior-based agents are becoming increasingly used across a variety of platforms. The common approach to building such agents involves implementing the behavior synchronization and management algorithms directly in the agent.s programming environment. This process makes it hard, if not impossible, to share common components of a behavior architecture across different agent implementations. This lack of reuse also makes it cumbersome to experiment with different behavior architectures as it forces users to manipulate native code directly, e.g. C++ or Java. The goal of the project is to provide a high-level behavior-centric programming language and an automated code generation system which together overcome these issues and facilitate the process of implementing and experimenting with different behavior architectures. The language is specifically designed to allow clear and precise descriptions of a behavior hierarchy, and can be automatically translated by our generator into C++ code. Once compiled, this C++ code yields an executable that directs the execution of behaviors in the agent.s sense-plan-act cycle. We have tested this process with different platforms, including both software and robot agents, with various behavior architectures. We experienced the advantages of defining an agent by directly reasoning at the behavior architecture level followed by the automatic native code generation.",,Carnegie Mellon,Computer Science
2004,TaskPort: A Task Management Interface in an Intelligent Cognitive Assistant System,"As technology evolves, people are pressed to keep track of a growing number of everyday tasks. Today's businessmen, managers and professors are spending more and more time on routine tasks such as answering emails, scheduling meeting, allocating resources and updating websites. RADAR (Reflective Agent with Distributed Adaptive Reasoning) is a software-based cognitive personal assistant in development by Carnegie Mellon University. RADAR can both save time for its user and improve quality of decisions by automatically managing the user's tasks and adapting to the user's preferences. The task manager is an essential component of the RADAR system that manages high-level tasks and coordinate communications among other intelligent assistants in a personal space. The task manager interface is a dashboard that allows users to browse, create, and modify tasks. It also obtains status from other task assistants and monitors feasibility of tasks. By exploring various techniques used in the task manager interface, we will better understand the elements that provide an edge in efficiency and productivity for the user. We will also discuss the possibility of extending the task manager interface in a ubiquitous environment.",,Carnegie Mellon,Computer Science
2004,Extended Filesystem Functionality for Self-Managing Storage System s,"Current large scale storage systems are very expensive because of the human element. The current industry estimates are that for every $1 spent on hardware, $6-$10 are spent paying people to install, manage, and maintain the hardware. In an attempt to lower the human cost, the Parallel Data lab is taking a step back and designing a new storage system from scratch that tries to be self administering. My part in this system is to determine if an existing filesystem called S4 is capable of being modified to support the ambitious requirements of the rest of the system. My primary goal is to modify S4 to export new functionality such as the ability to enumerate its files as well as allow for copy on write clones over ranges of files.",,Carnegie Mellon,Computer Science
2005,Type-Safety of Standard ML,"While a lot of research has gone into the study of type-safety, it has been done with simple contrived languages. There has never been a rigorous formal proof of this important property for any real language. Some prior work has gone into providing a definition of Standard ML, but it is known to contain bugs and was done entirely by hand. This could be greatly improved upon by a machine checkable proof of type-safety for Standard ML. Twelf is a formal logic tool designed for this purpose. The Harper-Stone definition of Standard ML has been formalized in Twelf and a proof of type-safety will be given.",,Carnegie Mellon,Computer Science
2005,Perceived Gender Similarities and Differences in Confidence Levels Among Computer Science Undergraduates,"This study is part of an ongoing line of investigation into the culture of computing amongst Computer Science undergraduates at Carnegie Mellon University. This study, focusing specifically on confidence, is looking especially at gender similarities (which have often been ignored in favor of examining gender differences), in an attempt to dispel some common stereotypes that surround women and men in computing fields. A set of interview transcripts has been studied and found that men and women share many factors relating to confidence levels. Our findings, so far, support the recent findings of Blum and Frieze, who found many similarities in how undergraduate men and women relate to computer science here at Carnegie Mellon University. Based on insight gained from our investigation of student interviews, suggestions are made to enhance the learning experience for undergraduate women in the computer science major. Ultimately we hope our suggestions may benefit all students.",,Carnegie Mellon,Computer Science
2005,Improving the Filtering Quality of Selective Dissemination of Information by Observing User Task Behavior,"A selective dissemination of information (SDI) service alerts users to latest documents in their field of interest. SDI helps users cope better with streams of incoming massive amounts of documents by filtering out uninteresting documents. Existing SDI filtering mechanisms typically use user feedback based on a binary 'interesting/not interesting' decision per document. However, in some situations the user will use information from the document in a structured way to complete a task, for example to fill out a form. In this work we describe a method of using user task behavior to improve the quality of SDI filtering. Our method creates, via machine learning, information extraction models of the information that the user is interested in. We then use these models on incoming documents to extract parts of the document that are likely to be of interest to the user. The results of the extraction are added as features into the filtering algorithm. We describe some experimental results of this method that demonstrate improved filtering performance of the SDI system (9%). We then describe the conditions where this method may be applied.",,Carnegie Mellon,Computer Science
2005,Using Objects of Measurement to Detect Spreadsheet Errors,"There are many common errors in spreadsheets that traditional spreadsheet systems do not help users find. This paper presents a statically-typed spreadsheet language that adds additional information about the objects that spreadsheet values represent. By annotating values with both units and labels, users denote both the system of measurement in which the values are expressed as well as the properties of the objects to which the values refer. This information is used during computation to detect some invalid computations and allow users to identify properties of resulting values.",,Carnegie Mellon,Computer Science
2005,Dynamic Texturing of Botanical Environments,"Data-driven animation techniques enable real-time synthesis of physically based motions without the cost of run-time simulation. The overhead costs of precomputing motion and lighting for a variety of objects, behaviors, and environmental conditions are large, but tolerable given the performance benefits at run-time. Since a primary goal of physically based modeling is to synthesize real world environments, a natural extension of precomputing and synthesizing complex behaviors for simulated objects is to place the objects in scenes representative of their natural environments. However, the cost of assembling and precomputing physical states for an environment scales as the environment grows in size and complexity, and the reuseability of the data diminishes. We provide techniques for synthesizing expansive, interactive environments that maintain the low run-time costs of data-driven animation without incurring the overhead costs of building and simulating large scenes. We utilize a small library of data-driven irises and an extension of Wang Tiles to generate a large field of irises that can be animated in real-time under varying wind and lighting conditions.",,Carnegie Mellon,Computer Science
2005,Perception of Affordances by a Mobile Robot,"In this project, we present a novel approach to robot mobile programming using the idea of affordances. Coined by the psychologist J. J. Gibson, affordances are descriptions of relationships between the robot, the object, and the environment they share that determine sets of possible actions that can be performed within that environment. In this framework, which is implemented using the Tekkotsu framework on the Sony AIBO dog, objects such as balls and lines are represented as primitives that can be seen, touched and manipulated with. The manipulation of the object then becomes a straightforward application of affordances. For example, a ball affords different pushing schemes based on its size: a large ball affords pushing using the dog.s chest, while a small ball affords pushing using the dog.s paw. Internally, each affordance is implemented using the following components: a finite state machine, an achievability code, and a return code. An achievability code informs the programmer how realizable an affordance.s action is prior to the programmer executing the action, while the return code informs the programmer how well the affordance perfomed its action. A set of affordances is generated by an affordance recognizer at each time step. The programmer only has to select which affordance to execute, alleviating him of the low-level details such as coordinate systems and mechanical limits associated with the robot.",,Carnegie Mellon,Computer Science
