year,degree,abstract,university,title
2005,Computer Science,"The teaching of cardiology starts with the patient ́s physical examination and has, as its most important aspect, the auscultation of the cardiac sounds. The training of a medical student in the auscultation of different cardiac sounds is, therefore, one of the key steps towards the establishment of a clinical diagnosis. In this monography, an infrastructure was built in a hospital, with the support of a personal computer, to allow for the recording of cardiac sounds in children, from the neonatal period to for that purpose, a device was designed and developed for the heart sounds ́ capture as well as software for the recording and reproduction of these sounds. As results of this monograph, a digital heart sounds recording system (hardware and software) was built. This system allows for their reproduction and amplification of the sounds that can be heard through loudspeakers and for their transmission throught e-mail.",UFPE,Electronic Tele-Stethoscope A TOOL IN TELEMEDICINE AND CARDIOLOGY EDUCATION
2005,Computer Science,"It is known that successful software development companies are based on an efficient project management methodology. This task, however, is not simple. Firstly, many of the available models (like PMBOK) are generic to projects of any nature, not only to software development. At second, these models often do not apply to all companies’ sizes and structure. This paper approaches these aspects and objectives to: A) Identify an enterprise lifecycle model that classifies the companies according to their maturity and applies to software enterprises; B) Identify a software development project management process model, detailing its subprocesses, techniques, inputs and outputs artifacts; C) Associate each of the item B subprocesses to the stages of item A model.",UFPE,Managing software projects in companies with different maturity levels
2005,Computer Science,Not found,UFPE,
2005,Computer Science,Not found,UFPE,
2005,Computer Science,"The fast growth of the Internet revolutionized the way that companies are delivering its financial information. Today 99% of the 500 largest companies of the world have Web Sites and 94% of these sites include financial information. The standards more used for the spreading of this information are Hypertext Markup Language (HTML) and Portable Document Format (PDF). However, the great problem inhabits in the non- standard format of this information that finishes for in such a way making it difficult its access for users as for applications. The objective of this work is to consider a system for creation, distribution and management of financial reports in XML. The development initiated with a research of the context and the existing languages for this purpose. After that we consider the architecture of BizPro system and detail the modules of management of access control polices and new object model XBRLDOM that extends model DOM of the W3C. In the module of management of access control polices, we consider the language eXtensible Business Access Control (XBAC) and describe the syntax and the semantics of its of access control polices. In model XBRLDOM we present its specification and we show how it was constructed as the extension of model DOM of the W3C.",UFPE,Bizpro system for publishing financial reports in xbrl
2005,Computer Science,"Virtual Learning Environments (LVE) are alternatives that lead to learning, not only for web information transmission, memorization and reproduction. They also enhance means for apprentices acompaniement and help from teachers. This allows teachers to understand what has been done by the apprentice as well as to consider to pose challenges related to what is being studied. One of the most necessary functions in such systems is the data input module. Through them, users can register, courses are created, mensages are posted, chats can have all the interaction registered, documents can be stored and so on. Thus, the main goal of this work is to functionally and structurally specify data input modules in LVE. For that, an analysis of such modules in some LVE shall point out their weaknesses and strong points allowing suggestions for improvements. A comparative study shall be done aiming at the conception of a optimized data input module that maybe utilized by different LVE. Tests will be performed so that the viability of the proposed model may be shown. Some work results will be used for the development of the data input module of the AMADeUs-MM project.",UFPE,REGISTRATION MODULE IN VIRTUAL TEACHING ENVIRONMENTS: SPECIFICATION OF FUNCTIONAL AND STRUCTURAL ASPECTS
2005,Computer Science,"In the competitive software market, building high quality systems becames a differential. The family of standards ISO/IEC 9126 and ISO/IEC 14598 describe a quality model and a software product evaluation process, respectively. Using these standards, this work defines a software product evaluation process through analysis by a domain specialist. System inspection, assisted by this professional, specialized in the object area under evaluation, contributes to identification of various problems, like, for example, non-conformances related to absence of important business rules in its context; funcionalities which are out of software scope; besides suggesting new functionalities that might add value to the product.",UFPE,A PROCESS FOR EVALUATING SOFTWARE PRODUCTS THROUGH SPECIALIST ANALYSIS
2005,Computer Science,Not found,UFPE,
2007,Computer Science,"Software standards and models guide organizations in definition and deployment of software development processes and, therefore, they help them to improve their products and services quality. As ISO/IEC 12207 [1] standard establishes the fundamentals for software life-cycle processes, it is easier for an organization, which has been evaluated in CMMI (Capability Maturity Model Integration) [2] and wants to be aligned with other standards and models, adapting to [ISO/IEC 12207] first. This goal could be reached more efficiently with an automatic process in an environment like ImPProS [3] – Gradual Software Process Implementation Environment. In this scenario, this work’s objective is to analyze CMMI [2] maturity model, in staged representation, and ISO/IEC 12207 [1] standard to suggest a mapping from CMMI [2] specifics practices to activities’ tasks of ISO/IEC 12207 [1] processes to be used later by ImPProS in an automated transformation.",UFPE,Mapping of the CMMI Model To ISO / IEC 12207
2008,Computer Science,Not found,UFPE,
2008,Computer Science,"Software Reuse has grown in maturity and relevance over the past several years and now it is considered one of the most plausible mean to bring to the industry better levels of productivity, quality, time-to-market and hence, competitiveness. A well succeeded Software Reuse program comprises in many different strategies, varying from technical perspective to the organizational and managerial perspective. Among the technical factors in software reuse, a reusable asset repository plays an important role in reuse programs since it stores valuable, experienced knowledge. Despite its benefits, an asset repository must be populated with reusable artifacts in order to be useful to developers; otherwise, its adoption is definitively compromised. On the other hand, already developed software is available at several open repositories on the internet and at companies’ own private repository. The effort needed do identify reusable artifacts from these existing sources must be considered. This work lies under this motivation. We are trying to answer questions such as, how can we assist engineers in the process of identifying candidates of components from existing source code? What kind of heuristics and metrics should be blend (and how) in order to get better results? How can we make it scalable to large systems? We have analyzed current approaches on component identification, techniques and tools, mainly focused on software clustering. We specified, designed and implemented a tool to help engineers in indentifying reusable modules from java source code: the CORE Loader. The CORE Loader finds partitions according to the edge strength among the classes.",UFPE,REUSABLE COMPONENT IDENTIFICATION FROM EXISTING OBJECT-ORIENTED PROGRAMS TOWARDS AN AUTOMATIC COMPONENT LOAD TOOL
2008,Computer Science,Not found,UFPE,
2008,Computer Science,Not found,UFPE,
2008,Computer Science,Not found,UFPE,
2008,Computer Science,"Beyond the inherent problems to a single project, the IT industry is predominantly a multiproject environment, in other words, an environment in which several projects are conducted simultaneously, sharing scarce resources among them. If manage projects alone is a challenge, the multiproject environment becomes a challenge even greater for the team management. Several frameworks and models have been proposed to assist the needs of management of this environment. The “Modelo para o Gerenciamento de Múltiplos Projetos de Software – MGMPS (Model for Multi Software Projects Management) referenced in this work, is based on PMBOK, but uses different concepts presented in the other models. Unlike the previous ones, this model seeks to remove the shortcomings of others models when applied to the particularities of multiproject environment. But all models make use of many processes and activities, requiring software support to facilitate the implementation of the management activities. Then, this software market began to grow rapidly. The tools made automatic procedures performed manually before, began to organize information and standardize processes. Based in this context, this work does a research, presentation and analysis of multiple projects management software. In addition to research conducted by specialized companies, it will be presented a comparison of features of these software based on needs for the completion of procedures under MGMPS.",UFPE,An assessment of multiple project management tools
2008,Computer Science,Not found,UFPE,
2007,Computer Science,"The logic has several areas, among them, the area of the theory of proof that studies the concepts of evidence and the formal pleas related. The theory of proof can be used in various applications, in various areas such as: mathematics, philosophy and computation. Among the various issues related to computation, highlights the proof automatic of theorems, object of study of this work of graduation. The provers are automated forms that trying to prove systems in various logics and using various methods and ways to do it. In addition to presenting the theoretical foundations for the construction of automatic theorem provers, this work shows the state of the art of provers, that is, studying some of the main automatic theorem provers currently available and what the current status of the area.",UFPE,Study and state of the art of the automatic tasters of theorems
2008,Computer Science,"This work is a research about Data Integration and the use of ontology to solve semantic heterogeneity problems. The worry about the management and recovery of useful information is a subject that has been in evidence lately. The high aggregated value that information brings to business, produces increasing interest in the existence of a technique where information could be recovered from several data sources. Better if this technique creates an abstraction to the user when he needs to retrieve information. For this, it is necessary to address the various heterogeneity problems. This work is a survey about ontology explaining its concepts and usages, giving a focus on its usage in the information integration area and the problem of semantic heterogeneity, having the ontology as a solution. The ontology is in prominence among experts, as a solution to the semantic heterogeneity, because of its ability to generate a shared common understanding on the application domain.",UFPE,Ontology and Semantic Heterogeneity in Data Integration
2007,Computer Science,Not found,UFPE,
2008,Computer Science,"With the growth of the perceived complexity in organizations, systems thinking has been increasingly important to professional effectiveness. The ability to understand the functioning of structures involved allows the professional to anticipate consequences and evaluate problematic situations so that their actions are more effective. Moreover, many organizations are increasingly looking for study, learn, disseminate, train, deploy and develop the knowledge, methodologies, practices and tools employed in the area of project management. Actually, in a project, the role of greater prominence defined by the PMI (Project Management Institute) is the manager, primarily responsible for the success of the project. To play their roles, the manager should be able to plan, monitor and decide during the whole project period. The decision-making process, in turn, involves all areas managed and it is for the manager to evaluate the individual, the project and the organizational objectives as a whole. Thus, the application of systemic modeling in project management promotes a holistic approach to management as it allows greater understanding of the influences majority in the project, identification of premises managerial implied, incorporation of human factors, dynamic vision of the work processes, explicit representation of the project behavior and support strategic analysis policies, identifying therefore the major trends of the project. In this research, several factors involving a project are systemically analyzed: environment, team, scope, manager, time, among others, and, finally, are proposed management practices that support the development of the environment and of the project through systems thinking.",UFPE,How Systemic Thinking Can Influence Project Management
2008,Computer Science,"The project manager is seen by PMI as one that has greater authority and responsibility for the achievement of objectives of the project. Accordingly, the necessary efforts to achieve the desired results have been concentrated, increasingly, the role of project manager. The prominence of the office, in turn, makes more critical the task of allocating people who really have the abilities, competencies and behaviors to be successful. Seeing through this perspective, the need for tools that help companies to evaluate these characteristics becomes essential. Several models have been created and developed both to define competencies that are essential to the function, as to know how to identify them and evaluate which level theses competencies is manifested in the behavior of an individual on your performance. This work presents as proposal examine the existence of relations between the personal which competencies defined as necessary for the project manager in the variables of PMCD Framework and the behavioral profiles described in the Symlog model, with the objective to analyze which of theses shows more appropriate to the role of project manager. The technical profile, common among professionals who works in the project management area, has been create ""managers"" with an excellent technical knowledge, but without several other qualities necessary to the professional effectiveness. As importance of the results and utilities of them, which wants with this work is to test if the Symlog model is useful or not to help organizations to evaluate if the candidates have, in fact, the abilities, in the case, personals, necessary to becomes project manager. The usefulness of the model can also be extended to compositions of the teams, inferential association of behaviors favorable and unfavorable to the effective performance of the project and, in the specific case of the study, showing the dominance of types of power and task rather than positive affection and social adaptability. This work, still, open space for, through qualitative research, evaluates the generated hypotheses, studies that correlates other theories of behavior analysis and proposals of models for the development of personal competencies.",UFPE,A study on the relationship between the personal skills of the project manager in the PMCD Framework variables and the profiles defined by the SYMLOG model
2008,Computer Science,Not found,UFPE,
2008,Computer Science,Not found,UFPE,
2008,Computer Science,"This research primary goal is to define a requirements reuse process for a specific company, enacting technology transfer between academy and industry. Analyzing the literature on requirements reuse, Domain Analysis was identified as being the best approach for reuse in this company. Then, a bibliography survey was made on Domain Analysis, from which the Feature-Oriented Domain Analysis (FODA) methodology was elected as the process basis. A case study was performed, targeting the comprehension of the company on which the process would be inserted, using Semi-structured interview, Observation and Content Analysis as techniques for data gathering. This comprehension was necessary in order to enable the process construction accordingly to the organization specific needs. Finally, the process was developed and validated in a meeting with one company representative. This process was entitled Feature-Oriented Domain Analysis adapted for Company D (in Portuguese, ADOC-D), referring to the company fictional name.",UFPE,Adequacy of a requirements reuse process to a software developer company
2008,Computer Science,Not found,UFPE,
2008,Computer Science,Not found,UFPE,
2008,Computer Science,Not found,UFPE,
2008,Computer Science,"With the rapid technological growth we are living changes where new equipments and converging medias arise. During this process a new media that emerges is the digital television, enabling the interactivity. This is a market with a broad and growing demand. Production of interactive applications must be optimized aiming to turn then more attractive, by reducing the development time, supplying the demand of interactivity, and increasing the competitive among the producers. The report aim is to propose a tool, the TVDesigner, which is placed in the implementation phase of DTV MHP applications, facilitating and speeding up.the development process, by providing graphical user interface and code generation.",UFPE,TVDesigner: A Tool for Creating Interactive MHP Applications for Digital TV
2008,Computer Science,Not found,UFPE,
2008,Computer Science,"The last three decades have been heavily marked by the increasingly economic homogenization and by profound changes in producer/consumer relations triggered by the globalization and the knowledge production. The context experienced by firms today is, no matter of their size, very different from that in the 1980`s. According to Mytelka (2000), two causes are determinant to explain such changes. Firstly, the production of goods and services has become more specialized in a large spectrum of industries and, secondly, the competition between firms has become global and more knowledge based. This innovation based competition has accelerated considerably the technological changes increasing the demand for the firms in developing countries to get even more involved in the continuous process of innovation despite the sector in which they are located (MYTELKA, 2000). The specific objective of this work can be described by the critical analysis of the Brazilian National System of Innovation. This analysis begin from the brief review of Brazilian laws in innovation incentives from general economy to the Information Technology sector specifically, followed by a comparative analysis of the national system of innovation in the other countries of BRIC: Russia, India, China.",UFPE,BRAZILIAN INNOVATION SYSTEM A Critical Analysis
2008,Computer Science,"Many studies have been developed in the area of Data Base in order to integrate the functions of multi-analytical processing and geographic presence in OLAP tools and GIS, respectively. Meanwhile, the integration of these areas is not trivial due to the fact that both were designed for different purposes. This paper aims to extend the OLAP Mondrian server with functions involving spatial operators, such as topological, metric and positional. To accomplish this, we use a feature of Mondrian called UDF (User Defined Functions), which allows the user to define new functions and then use them in constructions of language GeoMDQL to retrieve data from a Geographic Data Warehouse. This work is inserted in the context of GOLAPA project, which already has other research related to the integration of multi-analytical processing and geographic, for example, the definition of schemes for GDW, meta-integration and a query language for DWG.",UFPE,Extending the Mondrian OLAP Server with UDF Involving Spatial Operators
2008,Computer Science,"Innovation can be defined as “a new or significantly improved good or service introduced into the market, or the inception, within an enterprise, of a relevantly enhanced process”. Furthermore, it is based on the results of technological developments, as well as new combinations of pre-existent technology (in the form of mash-ups), but should not be understood as the technology itself, for it must be effectively applied to an economic context to be considered true innovations. On the same context, it becomes clear that the traditional economic theories, worried about the decision-making processes between well defined alternatives, doesn’t cope well with the uncertainties and dynamics which are part of the new learning economy, where it is wiser to ‘learn to learn’ than to ‘learn to allocate’. This work explores firm-level innovation, searching for the theoretical background required to present, in the shape of best practices, means to take better advantage of favourable conditions to innovation systematisation.",UFPE,STUDY OF ORGANIZATIONAL CONDITIONS FOR INNOVATION IN INFORMATION TECHNOLOGY
2008,Computer Science,"Currently, the business environment for company is increasingly complex and consists of several projects running simultaneously, sharing scarce resources. According Danilovic [2001], 90% of projects are conducted in this environment. In this environment the projects may be dependent, targeting goals in common and strategic - Program. To ensure that the goals are achieved and the program is carried out successfully the management of it is essential. The program management is the process of managing multiple streams of work or projects which have related goals aimed at achieving them according to their life-cycles or methodology [IAPPM 2003]. The manager generally uses are tools that give support to the monitoring and control. These tools generally do not provide the necessary structures to conduct the program to success. Compelling the manager to use many systems in parallel to achieve a satisfactory result. In this scenario, this work’s objective is studying the environment for managing programs and proposes a specification of tool for managing programs",UFPE,SPECIFICATION OF THE REQUIREMENTS FOR A PROGRAM MANAGEMENT TOOL
2008,Computer Science,"The developments occurred in the game industry in recent years is easily observed when we analyze the technical aspects of current products it made available. An example of this growth is the difference between the games Mario Bros, produced by Nintendo in 1985, and Doom 3 produced by id Software launched in 2004. Nevertheless, this technologic development forgot the games accessibility to the disabled people. With that in mind, this project proposes to study the necessaries requirements to make a game accessible for a list of disabilities. Besides the description of requirements, were searched games and consoles on the market that somehow are accessible to the disables. Also a game prototype for Nintendo DS called Brush Hero was developed; this game intends to be accessible by respecting some of the requirements proposed in the project",UFPE,A STUDY ON THE DEVELOPMENT OF GAMES FOR CARRIERS OF NEEDS SPECIALS
2008,Computer Science,Not found,UFPE,
2008,Computer Science,"The wide use of wireless networks has brought an undeniable increase in productivity for companies, but at the same time, challenges to the network administrators. How can we restrict access to resources of WLAN? The IEEE 802.11 standard came, and brought interoperability between devices from different manufacturers also established a security protocol - the WEP - that was not strong enough and many vulnerabilities were found. The WEP not achieved the objectives for which it was created. The industry then, could not wait until the full ratification and completion of the work developed by the task group i (IEEE 802.11i), so, took up a subset of the study, to develop the WPA, which was designed to be a transition protocol while the IEEE is still conducting searches and making improvements. Upon completing the work of the IEEE, was launched the WPA2. In this historical context of security wireless networks, this work’s objective is examine the whole WLAN’s security evolution , demonstrating some of their weaknesses and emphasizing, when possible, the improvements that were arise.",UFPE,Evolution of Security in Wireless Networks
2008,Computer Science,"The use of aspect-oriented programming has been recognized as a solution to the crosscutting concerns modularization problem. Although crosscutting modularity can be achieved, current aspect-oriented languages do not address class modularity properly, due to semantic dependencies between classes and aspects. In order to obtain both crosscutting and class modularity, design rules for aspect-oriented systems should be defined. Using a specific language to specify design rules enables parallel development of classes and aspects, improving modularity. In this work, we propose an implementation of such language, which is being specified in a PhD thesis at Informatics Center.",UFPE,Implementation of a Design Specification Language Rules for Aspect-Oriented Projects
2009,Computer Science,"The identification and classification of the traffic that is traversing a network link is a very important task performed by Internet Service Providers (ISP) administrators, in order to have a better comprehension of the applications being used by their users and to analyze how their network is prepared to provide a quality service to their customers. Among all the mechanisms used to classify network traffic, the Deep Packet Inspection (DPI) is the most used technique. However it is a mandatory requirement that the ISP DPI system must have a good set of application protocol signatures, in order to have an accurate traffic classification and an acceptable completeness level. Building this set of signatures is a very time consuming task and demands a high expertise, in order to make them very accurate and specific for each application. This thesis presents a set of tools capable to ease the job of construction, test and characterization of signatures for DPI systems. Three tools were built for this purpose: (i) a signature generator, capable of identifying common substrings used by an application protocol and merging them into signatures; (ii) a pattern generator, which will help the user characterize all the aspects of the generated signature; (iii) and a traffic generator that is responsible for creating totally configurable per application class flows, whose packet payload will carry signatures that can be detected by DPI systems.",UFPE,AUTOMATIC SIGNATURE GENERATION
2009,Computer Science,"The investments, in general, have three basics characteristics: return, term and protection. The investor should analyse the profitable, the liquidity and the risk of each application before put their money. The profit is proportional to the risk, which means that how bigger is the rental, more risked will be the application. The main challenge to the investors is to optimize this equation. A portfolio of investment is a group of assets that belongs to a investor. So he must make his portfolio in a way that it be efficient. Clustering is a non-supervisioned classification of patterns in group. These groups are built based on similarity. Therefore, intuitively, we deduce that patterns which are inside the same group present more similarity than patterns that are in different groups. Our purpose in the research is to present a system that will give support to the creation of an optimized portfolio. To get this purpose we will use differents algorithms of clustering, applying them in historical datas of some assets of Bovespa with the purpose of find the similarities between them and just like that group them in the most appropriate way. Then, we will present a comparative analysis between the results achieved by each one of the algorithms. It ́s important to emphasize that our purpose, at this first moment, it ́s not develop a prediction system but a system that creates portfolios and make clear to the investor the risks of each one of them. From this point, it up to the investor, according to his profile, choose the most risked portfolio or the less risked one.",UFPE,Analysis of time series using clustering algorithms
2009,Computer Science,Not found,UFPE,
2009,Computer Science,"The digitalization of the Brazilian television sign brings many benefits, both in sound and image quality as the possibility of the viewer (now as user) to interact with the application, which carries additional information. With the quantity and quality of program content in the Brazilian television, will be necessary tools to become the Digital TV development process based on SBTVD – Brazilian System of Digital TV – more agile and without quality loss, both in the product and in the process, to meet the existent demand. With the quantity and quality of program content existents in the Brazilian television, will be necessary tools to become the Digital TV development process based on SBTVD – Brazilian System of Digital TV – more agile and without quality loss, both in the product and in the process, to meet the existent demand. The tools found nowadays are craft, where the program writing is handmade and in the best case have IDEs (Integrated Development Environment) which accelerate some processes. This project will do a study of the existent tools indentifying the developer necessities in the application implementation process and will propose a development tool to interactive applications for Digital TV in the Brazilian model, more specifically to GINGA-NCL (applications written in NCL, with support to LUA language scripts) which attends these necessities. That tool will be available in the internet, running in web browsers and using RIA (Rich Internet Application) technologies, with an interface which can be friendly and intuitive.",UFPE,TVision Graphic Tool for Development of Digital TV Applications in GINGA-NCL Format
2009,Computer Science,"In the late 60s, a phenomenon in software development was identified and known as “Software crisis”. Big companies and governmental bodies endured a series of losses in the IT systems production, which, most of times, did not meet their needs. This was due to software development being done ad- hoc. The scarce success cases were the result of individual effort from committed professionals. Models of software development processes then appeared to standardize the best practices in systems development. From that day on, there was an increase in the expectations that all issues in development would be addressed by adopting a development process. That did not occur because there is no ideal process for all software companies. What truly exist are models of processes that must be customized for each organization. Define a process correctly and define a continuous process improvement are the biggest challenges for the companies. To analyze whether a model is appropriate to a given organization, software processes evaluation must be carried out. The new business requirements have made the companies to define different processes with a different models. So, the companies also needs to have different kinds of Assessments Methods. This work proposes a generic Web tool to support the process assessment activities described in the ISO 15504. The tool allows the record of any kind of model or assessment methods. It also allows to rate the model’s component. This tool is integrated with the ImPProS.",UFPE,Development and Integration of the ProEvaluator to the ImPProS Environment
2009,Computer Science,Not found,UFPE,
2009,Computer Science,"The main goal of this work was the investigation of techniques for interactive editing and manipulation of images, as the objects in the images were three-dimensional objects. These techniques simulate the manipulation of form, giving the user a feeling of manipulating a real object, not a two- dimensional image. To achieve this end, during the manipulation, some geometric properties are maintained, for example, rigidity. The interactive manipulation of images has many advantages when compared to manual techniques for image editing, since it allows greater flexibility, speeding up the process of creating animations in graphics applications.",UFPE,Interactive manipulation of objects in images
2009,Computer Science,"The popularizations of the ontologies, which happened because of the Semantic Web boom, brought with it the necessity of having the most different data sources represented by ontologies in order to make possible their integration.. The mapping between a relational data base and an ontology is not a new research and development area. Several methods and tools have been developed to fulfill this necessity. However, there is still a lack of methods and tools built to make the mapping of an object-relational database into an ontology. This work is intended to build a tool to fulfill this necessity.",UFPE,A TOOL FOR THE TRANSFORMATION OF OBJECT-RELATED SCHEMES FOR ONTOLOGIES
2009,Computer Science,Not found,UFPE,
2009,Computer Science,Not found,UFPE,
2009,Computer Science,"This work will speak about the occurrence of human error in the care of digital business information. Will be highlighted, the exposure of data on the Internet, the risk, and various other threats besides cite actual events and perceived losses caused by these different types of attacks. Will be discussed weaknesses in the process of human security and on how important it is the awareness of people when we refer to information security. Procedures for the defense will be emphasized both at the point of view of technology as well as the human quest for awareness of the people who make up the institution. People would be important in defending the institution of a system? There would be technology and processes to meet the human capital in data protection?",UFPE,Information Security in a more human perspective. Internal failures and network prevention and defense procedures
2009,Computer Science,Not found,UFPE,
2009,Computer Science,Not found,UFPE,
2009,Computer Science,Not found,UFPE,
2009,Computer Science,"The application monitoring is an increasingly common requirement in nowadays systems. However, adding monitoring features directly to parts of applications to be monitored, problems related to scattering or tangling of concerns may easily appear, causing great loss in modularity on system development as a whole. The use of Aspect Oriented Programming is a great alternative to this problem, since there isn’t necessity to the monitoring code to be close to the application code. However the use of aspects in Java plug-ins oriented applications which guarantee modularity, in fact, becomes more viable when the development occurs on Equinox Aspects platform. So this work describes an implementation of an aspect based monitoring plug- in on Equinox Aspects Framework and measures its results by comparing at source code level with OO approach.",UFPE,Application-Oriented Monitoring of Aspects
2009,Computer Science,"In 1984, Shamir [1] proposed a public-key encryption scheme such that the public key could be an arbitrary string, in particular, some form of unique identity of the user. This kind of scheme is known as Identity-Based Encryption (IBE). Shamir’s original motivation for constructing IBE was to simplify key management in email systems. There are two basic approaches to the construction of IBE system. The first one, upon which Boneh-Franklin [2] scheme in based, builds IBE systems using bilinear maps [3,4,5]. The resulting systems are efficient both in performance and ciphertext length. The second approach, due to Cocks [6], builds an elegant IBE system based on the quadratic residuosity problem modulo an RSA composite N. The ciphertext in this system contains two elements of Z/NZ to each bit of the plaintext. Hence, the encryption of an l-bit message yields a ciphertext of size 2l · log2N bits. For example, encrypting a 128-bit message using a 1024 bits modulo, the resulting ciphertext is of size 32678 bytes. For comparison, pairing based methods produce a 36 byte ciphertext. An open problem since Cocks scheme was the construction of a space efficient IBE scheme without pairings, namely a system with short ciphertexts. In 2007, Boneh, Gentry and Hamburg [7] proposed such a system. In their scheme, the ciphertext size is about l + log2N. Encrypting a 128-bit message produces a ciphertext of size 145 bytes. The security of the system is based on the quadratic residuosity problem. Encryption time in this system is quartic on the security parameter, while in the most part of practical public-key system the encryption is cubic on the security parameter. The objective of this work is to study and spell out the Boneh-Gentry-Hamburg scheme.",UFPE,SPACE-EFFICIENT IDENTITY-BASED ENCRYPTION
2009,Computer Science,Not found,UFPE,
2009,Computer Science,Not found,UFPE,
2009,Computer Science,"It’s crucial for the programs implemented in several organizations, their management in accordance with the good practices in use nowadays. The PMI (Project Management Institute) describes in PgMBOK, The Standard for Program Management, the processes that guides a program to achieve its defined goals. The PAC is a Brazilian’s federal government program planned for 2007 – 2010, which groups several projects aimed at structuring the country’s growth at an accelerated rate. This graduate work presents PgMBOK and the PAC, with its specific characteristics, and will make an approach regarding how much the management team of the Growth Accelerating Program follows the key factors for program success described into PgMBOK, and how the management of this program is being executed.",UFPE,GROWTH ACCELERATION PROGRAM: AN EVALUATION ACCORDING TO THE PMBOK
2009,Computer Science,"Considered the new Buffer Overflow, the work will be presented with the Cross-Site Scripting ""in the wild"" and how this attack can be performed more efficiently by using combinations of techniques that make this vulnerability even more worrying. We will also discuss about preventive techniques. This work aims to study the state of the art Cross-Site Scripting and development of an attack on an e-banking service to confirm that this vulnerability could seriously jeopardize the security of any page.",UFPE,Cross-Site Scripting: A Practical Analysis
2009,Computer Science,"This work introduces different pattern classifiers for interval data based on the logistic regres- sion methodology. Six approaches are considered. These approaches differ in the way of representing the intervals and in the model of regression used. The first classifier considers that each interval is represented by a pair of quantitative variables and performs a classic linear regression on these variables. The second considers that each interval is a pair of quantitative variables, but performs two separate classic linear regressions on these variables and cambine the results in a appropriate way. The second classifier considers that each interval is represented by the centers of the intervals and performs a classic logistic regression on the centers of the intervals. The third one assumes each interval as a pair of quantitative variables and performs a conjoint classic logistic regression on these variables. The fourth one considers that each interval is represented by its vertices and a classic logistic regression on the vertices of the in- tervals is applied. The last one also assumes each interval as a pair of quantitative variables, but performs two separate classic logistic regressions on these variables and combine the results in some appropriate way. Experiments with synthetic data sets and an application with a real interval data set demonstrate the usefulness of these classifiers.",UFPE,Classifiers for interval type symbolic data based on regression models
2009,Computer Science,"This work introduces different pattern classifiers for interval data based on a geometric ap- proach. Two classifiers are considered. These classifiers differ in the way of evaluating de dissimilarity between a new element and each class. The first classifier uses a fuzzy logic approach. While the second one uses a classical logic approach. Besides, new dissimilarity functions are presented in this thesis. Experiments with synthetic data sets and an application with a real interval data set demonstrate the usefulness of these classifiers.",UFPE,Classifiers for range-type symbolic data based on geometric models
